,Start,Number_hours,ID,Type,Garage
12,1,20,12,a,2
95,2,6,95,d,2
20,2,7,20,d,3
92,2,11,92,d,1
34,3,4,34,a,3
79,3,9,79,d,1
9,3,11,9,d,3
11,4,4,11,b,2
50,4,8,50,a,2
78,4,10,78,a,4
66,4,13,66,c,1
67,4,13,67,b,3
35,4,17,35,c,4
93,4,18,93,c,2
41,5,6,41,b,3
6,6,10,6,b,3
90,6,10,90,c,4
2,7,13,2,b,4
40,7,16,40,c,4
10,7,19,10,a,3
96,8,14,96,c,2
64,9,15,64,c,2
72,9,18,72,d,3
25,10,20,25,b,2
61,11,3,61,d,2
57,11,20,57,d,2
53,12,1,53,a,4
24,13,1,24,a,2
89,13,5,89,a,2
31,13,8,31,b,3
22,15,11,22,a,3
87,15,15,87,c,1
8,16,3,8,a,1
74,16,6,74,a,4
91,17,3,91,b,2
32,17,8,32,b,2
86,17,9,86,a,4
99,17,18,99,d,2
14,18,5,14,d,3
73,18,6,73,c,2
84,18,15,84,a,1
0,18,16,0,a,3
3,19,5,3,c,1
16,19,5,16,b,1
82,19,7,82,d,3
46,19,20,46,c,4
37,20,6,37,d,2
68,20,15,68,d,2
15,20,16,15,d,1
55,21,7,55,a,3
7,22,5,7,c,2
88,22,9,88,a,4
5,22,18,5,a,2
60,23,5,60,a,4
85,26,1,85,c,2
54,27,12,54,b,1
69,27,14,69,a,4
29,28,4,29,c,3
63,28,5,63,d,3
80,28,8,80,a,1
83,29,12,83,a,2
98,30,12,98,d,4
44,31,5,44,c,1
39,31,10,39,b,1
28,31,11,28,b,1
30,31,14,30,a,1
75,31,14,75,b,4
43,32,2,43,c,4
94,32,5,94,c,4
71,33,4,71,c,4
49,33,10,49,c,3
45,34,4,45,a,1
23,34,11,23,b,3
38,34,14,38,d,1
58,34,17,58,c,3
77,36,13,77,a,1
17,36,15,17,d,2
33,36,17,33,d,3
52,36,19,52,d,3
48,37,9,48,b,2
81,38,9,81,a,4
62,39,3,62,b,4
4,40,20,4,b,3
51,41,2,51,c,2
21,42,13,21,d,3
70,43,11,70,d,1
56,43,17,56,b,1
1,43,20,1,d,1
47,43,20,47,c,3
36,44,5,36,b,2
26,44,10,26,a,4
65,46,9,65,d,3
59,46,17,59,d,1
42,46,18,42,d,2
18,47,6,18,a,3
27,48,6,27,c,3
76,49,11,76,a,2
19,49,16,19,c,1
13,50,11,13,c,4
97,50,15,97,b,3
